date,age_0d_1d,age_1d_1w,age_1w_1m,age_1m_3m,age_3m_6m,age_6m_1y,age_1y_2y,age_2y_3y,age_3y_4y,age_4y_5y,age_5y_7y,age_7y_10y,age_10y
2011-04-25,54089.1,366603.9,330544.5,1436366.1,763257.3,1129861.2,1286118.6,649069.2,0.0,0.0,0.0,0.0,0.0
2011-04-26,60196.5,355159.35,337100.4,1426657.05,770515.2,1125674.55,1288205.1,650122.2,0.0,0.0,0.0,0.0,0.0
2011-04-27,72345.6,301440.0,403929.6,1157529.6,1030924.8,1121356.8,1284134.4,657139.2,0.0,0.0,0.0,0.0,0.0
2011-04-28,72444.0,289776.0,434664.0,1153067.0,1026290.0,1122882.0,1279844.0,664070.0,0.0,0.0,0.0,0.0,0.0
2011-04-29,350726.0,241880.0,489807.0,1130789.0,774016.0,1118695.0,1275917.0,665170.0,0.0,0.0,0.0,0.0,0.0
2011-04-30,284653.15,369443.45,448177.3,1126499.7,769169.15,1114386.8,1277910.95,672265.95,0.0,0.0,0.0,0.0,0.0
2011-05-01,72784.8,588343.8,454905.0,1116033.6,764240.4,1116033.6,1273734.0,673259.4,0.0,0.0,0.0,0.0,0.0
2011-05-02,48602.0,613600.25,443493.25,1123921.25,777632.0,1111770.75,1269727.25,680428.0,0.0,0.0,0.0,0.0,0.0
2011-05-03,79105.65,602419.95,456378.75,1095309.0,797141.55,1107479.1,1271775.45,687610.65,0.0,0.0,0.0,0.0,0.0
2011-05-04,146277.6,609490.0,451022.6,1054417.7,767957.4,1109271.8,1267739.2,694818.6,0.0,0.0,0.0,0.0,0.0
2011-05-05,54952.65,702172.75,464044.6,1050206.2,769337.1,1105158.85,1263910.95,696066.9,0.0,0.0,0.0,0.0,0.0
2011-05-06,97868.0,519923.75,660609.0,1003147.0,770710.5,1107131.75,1260050.5,703426.25,0.0,0.0,0.0,0.0,0.0
2011-05-07,73529.4,318627.4,888480.25,992646.9,723039.1,1158088.05,1256127.25,710784.2,0.0,0.0,0.0,0.0,0.0
2011-05-08,257812.8,331473.6,712054.4,982144.0,724331.2,1160157.6,1252233.6,712054.4,0.0,0.0,0.0,0.0,0.0
2011-05-09,67653.85,528930.1,719590.95,977905.65,725741.3,1162416.15,1248521.05,719590.95,0.0,0.0,0.0,0.0,0.0
2011-05-10,277177.5,326453.5,739140.0,948563.0,739140.0,1157986.0,1244219.0,720661.5,0.0,0.0,0.0,0.0,0.0
2011-05-11,104873.85,431833.5,832821.75,937695.6,740286.0,1153612.35,1239979.05,727947.9,0.0,0.0,0.0,0.0,0.0
2011-05-12,123550.0,469490.0,827785.0,938980.0,741300.0,1099595.0,1247855.0,728945.0,0.0,0.0,0.0,0.0,0.0
2011-05-13,327956.05,284641.1,841547.6,921989.65,742542.0,1095249.45,1243757.85,730166.3,0.0,0.0,0.0,0.0,0.0
2011-05-14,347197.2,297597.6,836993.25,911392.65,743994.0,1091191.2,1239990.0,737794.05,0.0,0.0,0.0,0.0,0.0
2011-05-15,142851.85,552774.55,801212.55,900587.75,739103.05,1093127.2,1235979.05,739103.05,0.0,0.0,0.0,0.0,0.0
2011-05-16,161805.8,597436.8,815252.3,883708.6,740572.7,1051737.7,1232213.4,746796.0,0.0,0.0,0.0,0.0,0.0
2011-05-17,118486.84981,611142.69902,848116.39864,885533.29858,735865.69882,1053909.34831,1228521.54803,748337.9988,0.0,0.0,0.0,0.0,0.0
