date,nvtRatio
2016-09-07,1.374196
2016-09-08,1.358165
2016-09-09,1.260462
2016-09-10,1.492695
2016-09-11,1.441566
2016-09-12,1.324264
2016-09-13,1.123408
2016-09-14,1.167908
2016-09-15,1.419667
2016-09-16,1.181774
2016-09-17,1.50974
2016-09-18,1.374331
2016-09-19,1.074837
2016-09-20,0.97431
2016-09-21,1.197359
2016-09-22,0.962435
2016-09-23,1.003916
2016-09-24,1.113983
2016-09-25,1.219977
2016-09-26,0.99777
2016-09-27,1.307441
2016-09-28,0.891911
2016-09-29,1.235197
2016-09-30,0.929179
2016-10-01,1.485557
2016-10-02,1.600513
2016-10-03,1.146788
2016-10-04,1.199599
2016-10-05,0.996223
2016-10-06,0.998853
2016-10-07,0.97169
2016-10-08,0.967753
2016-10-09,0.853098
2016-10-10,0.895326
2016-10-11,0.818496
2016-10-12,0.855841
2016-10-13,1.108104
2016-10-14,1.147208
2016-10-15,0.677891
2016-10-16,0.947373
2016-10-17,1.234546
2016-10-18,0.930177
2016-10-19,1.197423
