date,exchangeInflowBtc
2016-08-07,30976.28181308
2016-08-08,32439.41265961
2016-08-09,44818.90727481
2016-08-10,80250.76746698
2016-08-11,88431.12977467
2016-08-12,51362.05648765
2016-08-13,28523.03043351
2016-08-14,28913.04696152
2016-08-15,39366.68501318
2016-08-16,48545.50452045
2016-08-17,53915.50608886
2016-08-18,40481.05678091
2016-08-19,52846.62561219
2016-08-20,21575.94657583
2016-08-21,23018.41572309
2016-08-22,46985.63456645
2016-08-23,62429.77200514
2016-08-24,44618.28878017
2016-08-25,42545.8053569
2016-08-26,31914.61077502
2016-08-27,27146.15171431
2016-08-28,27268.74087758
2016-08-29,50694.29184287
2016-08-30,59068.90636804
2016-08-31,41860.11076218
2016-09-01,56755.09777355
2016-09-02,47476.83819999
2016-09-03,37029.44131651
2016-09-04,35590.69002154
2016-09-05,40367.87973972
2016-09-06,45100.12563592
2016-09-07,51151.45987573
2016-09-08,47145.62368493
2016-09-09,36636.17083412
2016-09-10,26110.50172368
2016-09-11,31728.93486305
2016-09-12,28992.09237846
2016-09-13,43419.02908912
2016-09-14,39300.37487347
2016-09-15,40988.60671259
2016-09-16,38396.26877982
2016-09-17,25974.50871446
2016-09-18,30166.50977015
2016-09-19,40220.6539553
2016-09-20,41306.99440703
2016-09-21,45717.24537755
2016-09-22,40590.21619123
2016-09-23,39238.96551743
2016-09-24,23955.42149196
2016-09-25,112534.59617319
2016-09-26,42512.10508763
2016-09-27,37855.15510744
2016-09-28,48717.45200937
2016-09-29,53749.01627198
2016-09-30,43011.84776829
2016-10-01,41900.66691616
2016-10-02,35258.91853774
2016-10-03,43336.00106719
2016-10-04,44609.83573731
2016-10-05,49896.50139543
2016-10-06,45904.97363078
2016-10-07,52173.55929698
2016-10-08,50909.13321821
2016-10-09,39430.5620141
2016-10-10,40929.25452884
2016-10-11,74387.09199613
2016-10-12,56168.18297946
2016-10-13,46203.77301622
2016-10-14,41655.71292416
2016-10-15,42057.63301451
2016-10-16,53609.70274106
2016-10-17,66625.57140929
2016-10-18,88357.54839256
2016-10-19,63989.53550568
2016-10-20,54637.40923542
2016-10-21,41094.11757326
2016-10-22,40679.69767473
2016-10-23,33004.60048867
2016-10-24,50829.55753575
2016-10-25,76927.19968122
2016-10-26,51222.02967194
2016-10-27,62230.68313929
2016-10-28,47216.10891088
2016-10-29,53124.97570131
2016-10-30,36715.94784187
2016-10-31,51496.83584323
2016-11-01,64896.12058486
2016-11-02,50822.26269942
2016-11-03,71397.02794583
2016-11-04,43008.82377485
2016-11-05,32785.14638123
2016-11-06,36129.44749388
2016-11-07,52258.71577455
2016-11-08,55956.82082818
2016-11-09,63574.38814986
2016-11-10,49247.79709094
2016-11-11,34764.14491954
2016-11-12,27672.08133218
2016-11-13,31998.63259525
2016-11-14,39584.02827245
2016-11-15,45657.59088643
2016-11-16,75369.22073928
2016-11-17,65777.2291018
2016-11-18,46918.10863386
2016-11-19,37452.66562908
2016-11-20,32267.94175873
2016-11-21,35294.5105633
2016-11-22,59972.58825756
2016-11-23,46128.36768686
2016-11-24,53088.40881669
2016-11-25,49656.57169758
2016-11-26,86292.08076091
2016-11-27,21266.2242832
2016-11-28,53672.90595692
2016-11-29,45768.52104741
2016-11-30,47325.90595022
2016-12-01,53077.73695087
2016-12-02,72355.70274777
2016-12-03,38686.97072753
2016-12-04,18047.43581075
2016-12-05,52217.84435835
2016-12-06,58164.86646055
2016-12-07,51622.14201347
2016-12-08,49614.01157208
2016-12-09,40376.19216612
2016-12-10,26370.12411462
2016-12-11,22649.98697562
2016-12-12,51464.25988769
2016-12-13,42570.01944156
2016-12-14,44423.21668031
2016-12-15,44226.58567437
2016-12-16,48212.72226995
2016-12-17,39968.86559501
2016-12-18,24385.23585126
2016-12-19,38537.95153833
2016-12-20,44477.43017252
2016-12-21,58203.67453604
2016-12-22,67586.9860833
2016-12-23,80417.99294187
2016-12-24,42932.95162715
2016-12-25,36332.80008101
2016-12-26,46151.85672326
2016-12-27,51018.16167499
2016-12-28,61667.16596083
2016-12-29,59043.28385243
2016-12-30,54242.81218391
2016-12-31,34153.01843825
2017-01-01,31124.99529964
2017-01-02,51178.71736978
2017-01-03,49227.99792902
2017-01-04,100714.18867513
2017-01-05,136418.3123994
2017-01-06,107832.35507245
2017-01-07,60292.64514549
2017-01-08,44803.46528662
2017-01-09,54139.65381671
2017-01-10,64236.65574843
2017-01-11,113478.98614142
2017-01-12,82408.84057823
2017-01-13,63995.72473752
2017-01-14,32578.2948304
2017-01-15,32279.88221966
2017-01-16,40567.20033107
2017-01-17,67219.23818644
2017-01-18,56195.5017391
2017-01-19,47456.25161831
2017-01-20,56112.40921869
2017-01-21,57819.93677728
2017-01-22,57772.0635786
2017-01-23,42603.12596652
2017-01-24,46162.18874917
2017-01-25,48208.17575846
2017-01-26,35527.34524508
2017-01-27,34452.53548724
2017-01-28,19489.27765765
2017-01-29,16981.12150725
2017-01-30,25278.34374742
2017-01-31,36922.96504082
2017-02-01,43126.65976787
2017-02-02,33741.33904377
2017-02-03,51174.06962784
2017-02-04,27504.86225872
2017-02-05,20439.92302798
2017-02-06,37015.56435333
2017-02-07,40993.33291786
2017-02-08,36674.82110795
2017-02-09,60710.41900683
2017-02-10,32221.78437651
2017-02-11,20274.84601179
2017-02-12,14512.16650859
2017-02-13,36993.12117221
2017-02-14,38577.84258214
2017-02-15,27396.48279775
2017-02-16,40690.19958762
2017-02-17,37215.05903706
2017-02-18,18224.9188373
2017-02-19,15703.81076023
2017-02-20,24296.82209815
2017-02-21,40542.28987732
2017-02-22,39175.66711471
2017-02-23,44536.99895115
2017-02-24,56735.93787269
2017-02-25,32829.05702835
2017-02-26,17717.62981634
2017-02-27,26192.60603458
2017-02-28,44365.05521045
2017-03-01,43736.14108861
2017-03-02,72168.74994118
2017-03-03,68491.64447724
2017-03-04,49909.67451288
2017-03-05,21320.45001262
2017-03-06,40009.66770408
2017-03-07,44266.75802702
2017-03-08,52949.36229399
2017-03-09,41356.73111973
2017-03-10,58690.74310641
2017-03-11,44878.64344651
2017-03-12,37816.63698937
2017-03-13,60580.82740118
2017-03-14,54513.78896106
2017-03-15,58724.90842785
2017-03-16,129615.49353482
2017-03-17,143369.88968281
2017-03-18,130551.05287226
2017-03-19,67310.24304209
2017-03-20,70011.82612365
2017-03-21,78393.66292697
2017-03-22,91890.8119475
2017-03-23,65391.17987783
2017-03-24,104437.18382452
2017-03-25,111514.52967177
2017-03-26,66042.49226579
2017-03-27,84653.93514844
2017-03-28,66075.72682661
2017-03-29,63109.2960889
2017-03-30,87939.20473577
2017-03-31,103585.65413079
2017-04-01,50672.58970093
2017-04-02,76402.93565159
2017-04-03,77476.0782597
2017-04-04,68669.31897569
2017-04-05,66434.31008659
2017-04-06,78362.09922
2017-04-07,69075.22299375
2017-04-08,30706.10732092
2017-04-09,37141.34892847
2017-04-10,50531.8978725
2017-04-11,56038.08278197
2017-04-12,49946.80082727
2017-04-13,66825.89310374
2017-04-14,81537.70083233
2017-04-15,47799.03717118
2017-04-16,36562.22106066
2017-04-17,46406.54775487
2017-04-18,60408.87620643
2017-04-19,61469.13662947
2017-04-20,56856.35396921
2017-04-21,54337.86731839
2017-04-22,36188.54681998
2017-04-23,34759.08516569
2017-04-24,42651.4821245
2017-04-25,56790.02830179
2017-04-26,69566.1886147
2017-04-27,74632.96532922
2017-04-28,76256.01726621
2017-04-29,59683.8867478
2017-04-30,57424.2105537
2017-05-01,91351.91349986
2017-05-02,81288.09016847
2017-05-03,63324.91292353
2017-05-04,114512.64449463
2017-05-05,104454.34213351
2017-05-06,81913.24752273
2017-05-07,80892.52271628
2017-05-08,136007.98092544
2017-05-09,108529.50872405
2017-05-10,113545.45585079
2017-05-11,106343.66231915
2017-05-12,90803.92818466
2017-05-13,68354.27184369
2017-05-14,50481.72688959
2017-05-15,86348.09379982
2017-05-16,106956.8476401
2017-05-17,156991.09417949
2017-05-18,116362.75379001
2017-05-19,138827.83635937
2017-05-20,103394.97334728
2017-05-21,97179.95514569
2017-05-22,147959.42246659
2017-05-23,125730.79832331
2017-05-24,150218.89406301
2017-05-25,193121.75677022
2017-05-26,138366.6890755
2017-05-27,120402.73531267
2017-05-28,78535.43369274
2017-05-29,74164.46727542
2017-05-30,133020.11981397
2017-05-31,103629.31932324
2017-06-01,136847.5113537
2017-06-02,100921.82318824
2017-06-03,105254.01753666
2017-06-04,82601.69279569
2017-06-05,102357.53719496
2017-06-06,107781.01153623
2017-06-07,91782.69438163
2017-06-08,92859.33205591
2017-06-09,74820.66552545
2017-06-10,94747.43700321
2017-06-11,91031.44099135
2017-06-12,127947.7736197
2017-06-13,128522.80928776
2017-06-14,121132.48255977
2017-06-15,136532.48389241
2017-06-16,96575.22975562
2017-06-17,78020.07613015
2017-06-18,57925.91900269
2017-06-19,105092.23091248
2017-06-20,116964.26393443
2017-06-21,112876.41217983
2017-06-22,89970.39120495
2017-06-23,69277.59125883
2017-06-24,70287.06870683
2017-06-25,74161.35946273
2017-06-26,129567.96738711
2017-06-27,110454.50618043
2017-06-28,102133.0679574
2017-06-29,95753.99746125
2017-06-30,104093.39844928
2017-07-01,66134.87218249
2017-07-02,64788.55389532
2017-07-03,73161.28026103
2017-07-04,75029.36425756
2017-07-05,77520.21735308
2017-07-06,60454.36714892
2017-07-07,81121.16590561
2017-07-08,67334.99850817
2017-07-09,95365.67272762
2017-07-10,101823.86003901
2017-07-11,117261.88798985
2017-07-12,80732.02782689
2017-07-13,72123.88244286
2017-07-14,84669.49717344
2017-07-15,84227.54995915
2017-07-16,94338.1899341
2017-07-17,108936.211816
2017-07-18,117603.15146506
2017-07-19,88613.02754422
2017-07-20,112305.67107267
2017-07-21,86415.56336473
2017-07-22,59419.26156433
2017-07-23,45192.01028944
2017-07-24,68415.5064017
2017-07-25,181782.8095169
2017-07-26,99528.58242948
2017-07-27,87537.00659305
2017-07-28,151408.36371445
2017-07-29,106455.31305957
2017-07-30,142574.46573443
2017-07-31,160417.26908011
2017-08-01,127914.64650608
2017-08-02,143722.488915
2017-08-03,134450.49961451
2017-08-04,106487.16224499
2017-08-05,109489.17189328
2017-08-06,80616.03180644
2017-08-07,118062.3599398
2017-08-08,127092.63485424
2017-08-09,109832.14709634
2017-08-10,124964.27699289
2017-08-11,149788.62419843
2017-08-12,110671.10201133
2017-08-13,132729.80157403
2017-08-14,120512.76881955
2017-08-15,132808.55924676
2017-08-16,150782.05068132
2017-08-17,83309.84445908
2017-08-18,146996.8366709
2017-08-19,115914.54513162
2017-08-20,97719.98000259
2017-08-21,130194.879976
2017-08-22,122722.56515092
2017-08-23,123288.04622154
2017-08-24,81251.82034029
2017-08-25,74902.72303079
2017-08-26,62882.00603189
2017-08-27,66354.72101307
2017-08-28,107528.10922321
2017-08-29,116809.56997563
2017-08-30,89357.76313038
2017-08-31,76715.85575201
2017-09-01,90716.32116437
