date,supplyLoss
2024-06-30,3097862.635909423
2024-07-01,3076240.419241581
2024-07-02,3399719.788059281
2024-07-03,4020990.679804064
2024-07-04,4291255.43503991
2024-07-05,4449107.483975198
2024-07-06,4023234.295349911
2024-07-07,4745155.874473838
2024-07-08,4553965.482449977
2024-07-09,4021551.404792205
2024-07-10,4122228.322798906
2024-07-11,4321532.342014523
2024-07-12,4023795.2953140736
2024-07-13,3767468.88641941
2024-07-14,3430262.6878193356
2024-07-15,2092925.203915313
2024-07-16,1960806.8802447657
2024-07-17,2432329.758990653
2024-07-18,2645434.5998582654
2024-07-19,1532849.0298202746
2024-07-20,1394790.9773167595
2024-07-21,1136380.636313118
2024-07-22,1323842.0600406602
2024-07-23,1963126.8401510569
2024-07-24,2128905.3575243875
2024-07-25,1971113.4001549669
2024-07-26,1120741.5244124343
2024-07-27,1099063.8286834543
2024-07-28,1061598.2035617083
2024-07-29,1655587.362289447
2024-07-30,1880586.6936408917
2024-07-31,2632485.4837980196
2024-08-01,2411520.6747940704
2024-08-02,3802857.875997376
2024-08-03,4175931.129469428
2024-08-04,4406930.700278752
2024-08-05,5024775.063717956
2024-08-06,4809759.733539827
2024-08-07,4906562.853255574
2024-08-08,3392821.3264465164
2024-08-09,3890278.346701108
2024-08-10,3795615.45127785
2024-08-11,4243775.993116476
2024-08-12,4139251.758075407
2024-08-13,3910372.513436286
2024-08-14,4194707.338759894
2024-08-15,4526450.616012435
2024-08-16,4108048.6164712342
2024-08-17,4005491.228229428
2024-08-18,4309612.262169093
2024-08-19,4001724.149628969
2024-08-20,4098557.763723355
2024-08-21,3455030.3359601945
2024-08-22,3853937.151881387
2024-08-23,2479851.7996941507
2024-08-24,2610225.6915610395
2024-08-25,2195636.9656197205
2024-08-26,2973650.5369723905
2024-08-27,3947185.268302789
2024-08-28,4239531.118007906
2024-08-29,4111266.035126922
2024-08-30,4188372.3424751665
2024-08-31,4389895.479420692
2024-09-01,4806678.227781486
2024-09-02,4129428.834121146
2024-09-03,4688424.289828453
2024-09-04,4481166.34123107
2024-09-05,5111301.42108297
2024-09-06,5401750.431488687
2024-09-07,5360408.472143492
2024-09-08,5232165.5264517255
2024-09-09,4791817.579000188
2024-09-10,4471933.283169176
2024-09-11,4641882.852892032
2024-09-12,4209400.098888466
2024-09-13,3468723.7954729255
2024-09-14,3666339.9391331114
2024-09-15,4053614.9080070816
2024-09-16,4259145.4963625
2024-09-17,3593492.342565343
2024-09-18,3196480.227192439
2024-09-19,2580150.642118506
