date,asopr
2024-01-05,1.03150246
2024-01-06,1.01413387
2024-01-07,1.01419572
2024-01-08,1.03251747
2024-01-09,1.04881371
2024-01-10,1.02893168
2024-01-11,1.04048469
2024-01-12,1.00386987
2024-01-13,1.00093355
2024-01-14,1.00548819
2024-01-15,1.00725182
2024-01-16,1.11650217
2024-01-17,1.01095397
2024-01-18,1.04738871
2024-01-19,1.01395264
2024-01-20,1.00478488
2024-01-21,1.00481432
2024-01-22,1.00097657
2024-01-23,1.00331974
2024-01-24,1.04828439
2024-01-25,1.02058239
2024-01-26,1.01400431
2024-01-27,1.01759708
2024-01-28,1.0136141
2024-01-29,1.01623692
2024-01-30,1.04794777
2024-01-31,1.03195127
2024-02-01,1.00529961
2024-02-02,1.01490915
2024-02-03,1.00645794
2024-02-04,1.00868653
2024-02-05,1.01504907
2024-02-06,1.03097173
2024-02-07,1.02009739
2024-02-08,1.03300081
2024-02-09,1.03752585
2024-02-10,1.02775155
2024-02-11,1.03160663
2024-02-12,1.05053441
2024-02-13,1.030592
2024-02-14,1.07923618
2024-02-15,1.04300326
2024-02-16,1.03375608
2024-02-17,1.02611752
2024-02-18,1.02595785
2024-02-19,1.08891681
2024-02-20,1.02168344
2024-02-21,1.02784505
2024-02-22,1.04257368
2024-02-23,1.04768726
2024-02-24,1.01831326
2024-02-25,1.02567971
2024-02-26,1.04493037
2024-02-27,1.08395934
2024-02-28,1.16962451
2024-02-29,1.08619301
2024-03-01,1.10804287
2024-03-02,1.03224138
2024-03-03,1.03920698
2024-03-04,1.10204666
2024-03-05,1.11601473
2024-03-06,1.20097307
2024-03-07,1.11384928
2024-03-08,1.09567721
2024-03-09,1.05997681
2024-03-10,1.06115548
2024-03-11,1.11988938
2024-03-12,1.07988679
2024-03-13,1.22105844
2024-03-14,1.06491442
2024-03-15,1.02562252
2024-03-16,1.025457
2024-03-17,1.06833447
2024-03-18,1.03406464
2024-03-19,0.99335397
2024-03-20,1.01588155
2024-03-21,1.04597215
2024-03-22,1.05072833
2024-03-23,1.35287113
2024-03-24,1.03622414
2024-03-25,1.16338772
2024-03-26,1.02215917
2024-03-27,1.02748324
2024-03-28,1.077319
2024-03-29,1.02141812
2024-03-30,1.02387026
2024-03-31,1.02498278
2024-04-01,1.07730566
2024-04-02,1.0531702
2024-04-03,1.02774315
2024-04-04,1.01804278
