date,reserveRisk
2021-01-14,0.0032664554
2021-01-15,0.0030347121
2021-01-16,0.0030036778
2021-01-17,0.0029491659
2021-01-18,0.0030184984
2021-01-19,0.0029733502
2021-01-20,0.0029072902
2021-01-21,0.0025329748
2021-01-22,0.002671675
2021-01-23,0.0025995185
2021-01-24,0.0026095114
2021-01-25,0.0026185948
2021-01-26,0.0026206207
2021-01-27,0.0024435105
2021-01-28,0.0026759991
2021-01-29,0.0027413342
2021-01-30,0.0027340294
2021-01-31,0.002632219
2021-02-01,0.0026596024
2021-02-02,0.0028053117
2021-02-03,0.0029634993
2021-02-04,0.0029017021
2021-02-05,0.0029677616
2021-02-06,0.0030686503
2021-02-07,0.0030288855
2021-02-08,0.0035879999
2021-02-09,0.0035893166
2021-02-10,0.0034695379
2021-02-11,0.0036644115
2021-02-12,0.0036346866
2021-02-13,0.0035832904
2021-02-14,0.0037231111
2021-02-15,0.0036220534
2021-02-16,0.0036972467
2021-02-17,0.0039132816
2021-02-18,0.0038575798
2021-02-19,0.004156013
2021-02-20,0.0041498034
2021-02-21,0.004237962
2021-02-22,0.0039296463
2021-02-23,0.0035741128
2021-02-24,0.0036274864
2021-02-25,0.0034201703
2021-02-26,0.003362424
2021-02-27,0.0033406836
2021-02-28,0.0032465224
2021-03-01,0.0035553988
2021-03-02,0.0034657334
2021-03-03,0.0035923694
2021-03-04,0.0034390677
2021-03-05,0.0034561912
2021-03-06,0.0034462534
2021-03-07,0.0035910905
2021-03-08,0.0036576215
2021-03-09,0.0038088946
2021-03-10,0.0039055375
2021-03-11,0.0040096022
2021-03-12,0.0039509536
2021-03-13,0.0042016806
2021-03-14,0.0040664536
2021-03-15,0.0037967238
2021-03-16,0.0038226094
2021-03-17,0.0039628972
2021-03-18,0.003896828
2021-03-19,0.0038887603
2021-03-20,0.0038749503
2021-03-21,0.0038250211
2021-03-22,0.0036147203
2021-03-23,0.0036023361
2021-03-24,0.0034376086
2021-03-25,0.003369068
2021-03-26,0.0035918504
2021-03-27,0.0036343712
2021-03-28,0.0036130759
2021-03-29,0.0037280436
2021-03-30,0.0037800371
2021-03-31,0.00377234
2021-04-01,0.0037527513
2021-04-02,0.0037424527
2021-04-03,0.0036752111
2021-04-04,0.003667743
2021-04-05,0.0036904444
2021-04-06,0.0036309299
2021-04-07,0.003513968
2021-04-08,0.0035787181
2021-04-09,0.0036199495
2021-04-10,0.0036475652
2021-04-11,0.0036675605
2021-04-12,0.003677322
2021-04-13,0.0038620934
2021-04-14,0.0038107554
2021-04-15,0.0038410042
2021-04-16,0.0037328257
2021-04-17,0.003652319
2021-04-18,0.0033543208
2021-04-19,0.0033702814
2021-04-20,0.0033902623
2021-04-21,0.0032565779
2021-04-22,0.0030703965
2021-04-23,0.0029687107
2021-04-24,0.0029956814
2021-04-25,0.0028078485
2021-04-26,0.0031244322
2021-04-27,0.0032104209
2021-04-28,0.0031787767
2021-04-29,0.0030901185
2021-04-30,0.003285985
2021-05-01,0.0033038278
2021-05-02,0.0032503442
2021-05-03,0.0032628282
2021-05-04,0.0030985648
2021-05-05,0.0032267545
2021-05-06,0.0031907555
2021-05-07,0.0032394566
2021-05-08,0.0033107625
2021-05-09,0.0032561844
2021-05-10,0.0031143397
2021-05-11,0.0031460729
2021-05-12,0.0030236723
2021-05-13,0.002744987
2021-05-14,0.002746093
2021-05-15,0.0026711673
2021-05-16,0.0024850554
2021-05-17,0.0024175136
2021-05-18,0.0023422456
2021-05-19,0.0020982461
2021-05-20,0.0022150484
2021-05-21,0.0019520909
2021-05-22,0.0020651296
2021-05-23,0.0018318342
2021-05-24,0.0020955851
2021-05-25,0.0020418178
2021-05-26,0.0020848908
2021-05-27,0.0020565562
2021-05-28,0.0018660355
2021-05-29,0.0018574779
2021-05-30,0.0019295057
2021-05-31,0.0019594151
2021-06-01,0.0019378643
2021-06-02,0.0020040138
2021-06-03,0.0020564846
2021-06-04,0.0019675001
2021-06-05,0.0018448508
2021-06-06,0.0018930723
2021-06-07,0.0017959632
2021-06-08,0.0017602426
2021-06-09,0.0019232549
2021-06-10,0.0019147995
2021-06-11,0.0019285333
2021-06-12,0.0018669929
2021-06-13,0.0020228012
2021-06-14,0.0020788595
2021-06-15,0.0020704213
2021-06-16,0.0020053181
2021-06-17,0.0019466759
2021-06-18,0.0018330184
2021-06-19,0.0018497443
2021-06-20,0.0018243837
2021-06-21,0.0016464885
2021-06-22,0.0016580523
2021-06-23,0.0016999934
2021-06-24,0.0017714806
2021-06-25,0.001621921
2021-06-26,0.0015953094
2021-06-27,0.0016655821
2021-06-28,0.0017572317
2021-06-29,0.0018333303
2021-06-30,0.0017642506
2021-07-01,0.0016856403
2021-07-02,0.0016819618
2021-07-03,0.0017332633
2021-07-04,0.0017980672
2021-07-05,0.001706968
2021-07-06,0.0016842272
2021-07-07,0.0017057472
2021-07-08,0.0016360767
2021-07-09,0.0016831111
2021-07-10,0.0016574425
2021-07-11,0.0017084847
2021-07-12,0.0016252244
2021-07-13,0.0016075556
2021-07-14,0.001617963
2021-07-15,0.0015597868
2021-07-16,0.0015618549
2021-07-17,0.0015593699
2021-07-18,0.0015573399
2021-07-19,0.0015013362
2021-07-20,0.0014487997
2021-07-21,0.0015573829
2021-07-22,0.0015653784
2021-07-23,0.0015860435
2021-07-24,0.0016532283
2021-07-25,0.0016713903
2021-07-26,0.0017976282
2021-07-27,0.0018479333
2021-07-28,0.0019324914
2021-07-29,0.0018996901
2021-07-30,0.0019743008
2021-07-31,0.0020041046
2021-08-01,0.0019697256
2021-08-02,0.0018710919
2021-08-03,0.0018236658
2021-08-04,0.0018932638
2021-08-05,0.0019334182
2021-08-06,0.0020092358
2021-08-07,0.0020726685
2021-08-08,0.002082455
2021-08-09,0.0021523255
2021-08-10,0.0021474108
2021-08-11,0.0021712614
2021-08-12,0.0020676439
2021-08-13,0.0022189945
2021-08-14,0.0021837745
2021-08-15,0.0021734157
2021-08-16,0.002132305
2021-08-17,0.0020732233
2021-08-18,0.0020606051
2021-08-19,0.002143961
2021-08-20,0.0022597621
2021-08-21,0.002252473
2021-08-22,0.0022255688
2021-08-23,0.0022590951
2021-08-24,0.0021931514
2021-08-25,0.0022286472
2021-08-26,0.0021437138
2021-08-27,0.0022135389
2021-08-28,0.002208478
2021-08-29,0.0021912904
2021-08-30,0.0021735361
2021-08-31,0.0020990697
2021-09-01,0.002165678
2021-09-02,0.0022202401
2021-09-03,0.0022370854
2021-09-04,0.0022280079
2021-09-05,0.0022881953
2021-09-06,0.0023033808
2021-09-07,0.002046824
2021-09-08,0.0020311583
2021-09-09,0.0020375592
2021-09-10,0.0019795808
2021-09-11,0.0019847631
2021-09-12,0.0019740103
2021-09-13,0.0019666053
2021-09-14,0.0020313575
2021-09-15,0.0020923367
2021-09-16,0.0020659019
2021-09-17,0.0020444652
2021-09-18,0.0020717859
2021-09-19,0.0020419054
2021-09-20,0.0018727215
2021-09-21,0.0017756572
2021-09-22,0.0018573675
2021-09-23,0.0019064448
2021-09-24,0.0018311402
2021-09-25,0.0018145407
2021-09-26,0.0018509367
2021-09-27,0.0018230867
2021-09-28,0.0017716402
2021-09-29,0.0017445232
2021-09-30,0.0018463889
2021-10-01,0.0020304554
2021-10-02,0.0020183862
2021-10-03,0.0020088324
2021-10-04,0.0020431405
2021-10-05,0.0021597803
2021-10-06,0.002298751
2021-10-07,0.0022665019
2021-10-08,0.0022444102
2021-10-09,0.0022707419
2021-10-10,0.0022681304
2021-10-11,0.0023558334
2021-10-12,0.0022996454
2021-10-13,0.0023618782
2021-10-14,0.0023626049
2021-10-15,0.002518799
2021-10-16,0.002483828
2021-10-17,0.0024436977
2021-10-18,0.0025020194
2021-10-19,0.0025891777
2021-10-20,0.00265232
2021-10-21,0.0025226283
2021-10-22,0.0024231276
2021-10-23,0.0024534918
2021-10-24,0.0024329616
2021-10-25,0.0025012353
2021-10-26,0.0024149975
2021-10-27,0.0023299478
2021-10-28,0.0023998723
2021-10-29,0.0024604815
2021-10-30,0.0024237061
2021-10-31,0.0024113067
2021-11-01,0.0023923202
2021-11-02,0.00245872
2021-11-03,0.002448852
2021-11-04,0.0023759281
2021-11-05,0.0023697821
2021-11-06,0.0023733136
2021-11-07,0.0024227614
2021-11-08,0.0025591428
