date,supplyProfit
2022-01-28,12812673.207056
2022-01-29,12921280.377908995
2022-01-30,12859386.624652
2022-01-31,13077862.958862
2022-02-01,13131576.592724
2022-02-02,12198147.029502
2022-02-03,12359796.733592
2022-02-04,13794753.72912
2022-02-05,13833194.3417
2022-02-06,14025306.710229002
2022-02-07,14329158.295869
2022-02-08,14394324.096004998
2022-02-09,14402569.956021
2022-02-10,14139805.254839998
2022-02-11,13806858.449136
2022-02-12,13599188.712739998
2022-02-13,13624541.50862
2022-02-14,13985433.783645
2022-02-15,14469701.58432
2022-02-16,14280843.42832
2022-02-17,13318353.09624
2022-02-18,13074328.08311
2022-02-19,13220985.075396
2022-02-20,12586322.795491004
2022-02-21,12141163.923636
2022-02-22,12557118.582377998
2022-02-23,12212548.460952
2022-02-24,12675883.132644
2022-02-25,13232210.864768
2022-02-26,12897005.035057
2022-02-27,12292445.58264
2022-02-28,14351399.556045
2022-03-01,14608284.7911
2022-03-02,14443877.249759
2022-03-03,13757738.094093
2022-03-04,12838107.578988
2022-03-05,12996121.965956995
2022-03-06,12313545.659352
2022-03-07,12323634.369192
2022-03-08,12618392.199232
2022-03-09,13734915.715666002
