date,realizedLossUsd
2024-03-28,75359477.43
2024-03-29,140736127.71
2024-03-30,24254836.19
2024-03-31,19349693.57
2024-04-01,538015661.02
2024-04-02,755180064.57
2024-04-03,307657303.84
2024-04-04,215795181.77
2024-04-05,215114303.17
2024-04-06,57976617.09
2024-04-07,30676323.5
2024-04-08,47563945.36
2024-04-09,235349009.25
2024-04-10,238016956.39
2024-04-11,64995009.2
2024-04-12,281595345.48
2024-04-13,524141041.96
2024-04-14,488206134.37
2024-04-15,535696959.18
2024-04-16,446502815.55
2024-04-17,516497588.67
2024-04-18,494949076.05
2024-04-19,333536495.63
2024-04-20,61203430.33
2024-04-21,42890579.12
2024-04-22,77597072.77
2024-04-23,260179119.16
2024-04-24,249451808.35
2024-04-25,310709387.34
2024-04-26,301547078.99
2024-04-27,143660214.1
2024-04-28,71601603.73
2024-04-29,313791744.94
2024-04-30,487347222.67
2024-05-01,1160273606.68
2024-05-02,536961662.89
2024-05-03,300413124.04
2024-05-04,51758840.04
2024-05-05,87739931.06
2024-05-06,116054726.84
2024-05-07,226457612.09
2024-05-08,283348394.32
2024-05-09,214317435.81
2024-05-10,233733147.37
2024-05-11,92985699.03
2024-05-12,42733890.73
2024-05-13,119966803.35
2024-05-14,169420914.36
2024-05-15,97857107.61
2024-05-16,107114672.86
2024-05-17,95315828.72
2024-05-18,24250307.69
2024-05-19,35593322.47
2024-05-20,55327591.33
2024-05-21,97964909.02
2024-05-22,142426424.11
2024-05-23,236565358.13
2024-05-24,182369902.5
2024-05-25,19116991.89
2024-05-26,41040521.01
2024-05-27,53767954.25
2024-05-28,166601855.81
2024-05-29,152280128.55
2024-05-30,94254909.95
2024-05-31,158545445.92
2024-06-01,32329638.08
2024-06-02,25995129.84
2024-06-03,102060589.05
2024-06-04,51024561.43
2024-06-05,37700394.49
2024-06-06,51462098.65
2024-06-07,120968337.15
2024-06-08,77483970.16
2024-06-09,14210295.97
2024-06-10,84580338.83
2024-06-11,328525791.64
2024-06-12,146576043.38
2024-06-13,186869610.63
2024-06-14,308915466.91
2024-06-15,135774870.79
2024-06-16,33984612.76
2024-06-17,284677121.37
2024-06-18,374102670.39
2024-06-19,132687214.89
2024-06-20,182600590.71
2024-06-21,307274339.12
2024-06-22,34906832.16
