date,nrplBtc
2012-06-23,7721.2198284
2012-06-24,8775.341725
2012-06-25,8731.9857068
2012-06-26,9143.0630015
2012-06-27,8557.9272092
2012-06-28,8226.2705413
2012-06-29,7664.936288
2012-06-30,7125.8550992
2012-07-01,6477.0626735
2012-07-02,6252.4915297
2012-07-03,5854.6887925
2012-07-04,5905.9586801
2012-07-05,5617.502877
2012-07-06,5335.2669784
2012-07-07,5776.2122297
2012-07-08,5715.5576497
2012-07-09,5159.6306517
2012-07-10,8002.2669036
2012-07-11,7746.2155067
2012-07-12,6867.9207028
2012-07-13,6731.0301461
2012-07-14,8481.603667
2012-07-15,7603.9889892
2012-07-16,7305.0896909
2012-07-17,8322.4122269
2012-07-18,7707.1494796
2012-07-19,8166.6033394
2012-07-20,7441.9796274
2012-07-21,6690.0313939
2012-07-22,5956.7939667
2012-07-23,5544.3135432
2012-07-24,5204.1606405
2012-07-25,4857.9479329
2012-07-26,4770.1648897
2012-07-27,4278.2136069
2012-07-28,4022.6993833
2012-07-29,3835.7764164
2012-07-30,3527.3017619
2012-07-31,3250.4991485
2012-08-01,3104.9262899
2012-08-02,2888.9439161
2012-08-03,2748.2600676
2012-08-04,2477.1351237
2012-08-05,2195.2163852
2012-08-06,2163.3956552
2012-08-07,2034.8410857
2012-08-08,2216.0748318
2012-08-09,2001.5862427
2012-08-10,1831.4155686
2012-08-11,1680.9102299
2012-08-12,1552.3008496
2012-08-13,1437.8725831
2012-08-14,1488.3568347
2012-08-15,1454.8528362
2012-08-16,1543.0233813
2012-08-17,2515.1829415
2012-08-18,2562.8324288
2012-08-19,5448.5543382
2012-08-20,5087.15055
2012-08-21,4479.8814932
2012-08-22,4147.615819
2012-08-23,3820.2373898
2012-08-24,3345.6034683
2012-08-25,3000.972019
2012-08-26,2515.7118529
2012-08-27,3507.8801731
2012-08-28,3513.6165413
2012-08-29,3007.5430279
2012-08-30,2633.3553674
2012-08-31,4317.8628989
2012-09-01,3766.2758631
2012-09-02,3323.8593947
2012-09-03,2966.5971182
2012-09-04,2676.842789
2012-09-05,2365.7156781
2012-09-06,2108.0550864
2012-09-07,1908.397746
2012-09-08,1696.8760153
2012-09-09,1509.5050971
2012-09-10,7514.5773114
2012-09-11,11528.6584582
2012-09-12,12500.3318427
2012-09-13,12856.1913758
2012-09-14,12282.5041574
2012-09-15,12354.4373859
2012-09-16,12172.4676065
2012-09-17,10896.5902752
2012-09-18,9306.7884721
2012-09-19,11702.0239262
2012-09-20,18196.5328823
2012-09-21,18793.169612
2012-09-22,17611.1511882
2012-09-23,16578.8326844
2012-09-24,16328.4920479
2012-09-25,17643.6196884
2012-09-26,17327.8505397
2012-09-27,17217.0646965
2012-09-28,17922.1864131
2012-09-29,17439.1074838
2012-09-30,16635.394659
2012-10-01,15401.3152507
2012-10-02,14748.633897
2012-10-03,15239.9247404
2012-10-04,14665.9432445
2012-10-05,13246.0412756
2012-10-06,12003.2400099
2012-10-07,11283.0134965
2012-10-08,13946.0674514
2012-10-09,12642.0990521
2012-10-10,11697.6202144
2012-10-11,10566.5195385
2012-10-12,9913.3335498
2012-10-13,8912.211939
2012-10-14,9120.6000904
2012-10-15,8672.2036829
2012-10-16,9021.830134
2012-10-17,10256.1718457
2012-10-18,10147.0842169
2012-10-19,9568.0402035
2012-10-20,8788.1066196
2012-10-21,9968.4227159
2012-10-22,8948.383044
2012-10-23,8512.2099634
2012-10-24,8227.4656413
2012-10-25,11282.6050181
2012-10-26,12209.8225493
